R,method,mean_EAT,mean_ECC,bottleneck_cross_coverage,node_coverage,edge_coverage,graph,repeat,num_nodes,num_edges,num_bottleneck_edges,M,walk_len,pair_samples
0,simple_rw,6.3072,12.5896,0.0875,0.20359375000000002,0.04901898734177215,synthetic,0,160,790,2,8,6,5000
0,simple_rw,6.2476,12.5332,0.1125,0.20671875,0.04932753164556962,synthetic,1,160,790,2,8,6,5000
0,simple_rw,6.2728,12.5266,0.0875,0.2055078125,0.04927215189873418,synthetic,2,160,790,2,8,6,5000
0,simple_rw,6.2932,12.6218,0.08125,0.20652343750000002,0.04915348101265822,synthetic,3,160,790,2,8,6,5000
0,simple_rw,6.2442,12.4786,0.125,0.20445312499999999,0.04909018987341772,synthetic,4,160,790,2,8,6,5000
1,simple_rw,11.1732,22.2832,0.0875,0.20359375000000002,0.04901898734177215,synthetic,0,160,790,2,8,6,5000
1,simple_rw,10.9996,22.1032,0.1125,0.20671875,0.04932753164556962,synthetic,1,160,790,2,8,6,5000
1,simple_rw,11.0644,22.099,0.0875,0.2055078125,0.04927215189873418,synthetic,2,160,790,2,8,6,5000
1,simple_rw,11.1184,22.3058,0.08125,0.20652343750000002,0.04915348101265822,synthetic,3,160,790,2,8,6,5000
1,simple_rw,11.0322,22.0198,0.125,0.20445312499999999,0.04909018987341772,synthetic,4,160,790,2,8,6,5000
2,simple_rw,16.0392,31.9768,0.0875,0.20359375000000002,0.04901898734177215,synthetic,0,160,790,2,8,6,5000
2,simple_rw,15.7516,31.6732,0.1125,0.20671875,0.04932753164556962,synthetic,1,160,790,2,8,6,5000
2,simple_rw,15.856,31.6714,0.0875,0.2055078125,0.04927215189873418,synthetic,2,160,790,2,8,6,5000
2,simple_rw,15.9436,31.9898,0.08125,0.20652343750000002,0.04915348101265822,synthetic,3,160,790,2,8,6,5000
2,simple_rw,15.8202,31.561,0.125,0.20445312499999999,0.04909018987341772,synthetic,4,160,790,2,8,6,5000
3,simple_rw,20.9052,41.6704,0.0875,0.20359375000000002,0.04901898734177215,synthetic,0,160,790,2,8,6,5000
3,simple_rw,20.5036,41.2432,0.1125,0.20671875,0.04932753164556962,synthetic,1,160,790,2,8,6,5000
3,simple_rw,20.6476,41.2438,0.0875,0.2055078125,0.04927215189873418,synthetic,2,160,790,2,8,6,5000
3,simple_rw,20.7688,41.6738,0.08125,0.20652343750000002,0.04915348101265822,synthetic,3,160,790,2,8,6,5000
3,simple_rw,20.6082,41.1022,0.125,0.20445312499999999,0.04909018987341772,synthetic,4,160,790,2,8,6,5000
4,simple_rw,25.7712,51.364,0.0875,0.20359375000000002,0.04901898734177215,synthetic,0,160,790,2,8,6,5000
4,simple_rw,25.2556,50.8132,0.1125,0.20671875,0.04932753164556962,synthetic,1,160,790,2,8,6,5000
4,simple_rw,25.4392,50.8162,0.0875,0.2055078125,0.04927215189873418,synthetic,2,160,790,2,8,6,5000
4,simple_rw,25.594,51.3578,0.08125,0.20652343750000002,0.04915348101265822,synthetic,3,160,790,2,8,6,5000
4,simple_rw,25.3962,50.6434,0.125,0.20445312499999999,0.04909018987341772,synthetic,4,160,790,2,8,6,5000
0,budget_rw,6.3072,12.5896,0.0875,0.20359375000000002,0.04901898734177215,synthetic,0,160,790,2,8,6,5000
0,budget_rw,6.2476,12.5332,0.1125,0.20671875,0.04932753164556962,synthetic,1,160,790,2,8,6,5000
0,budget_rw,6.2728,12.5266,0.0875,0.2055078125,0.04927215189873418,synthetic,2,160,790,2,8,6,5000
0,budget_rw,6.2932,12.6218,0.08125,0.20652343750000002,0.04915348101265822,synthetic,3,160,790,2,8,6,5000
0,budget_rw,6.2442,12.4786,0.125,0.20445312499999999,0.04909018987341772,synthetic,4,160,790,2,8,6,5000
1,budget_rw,9.9718,19.9118,0.20625,0.31320312499999997,0.08871835443037976,synthetic,0,160,790,2,8,6,5000
1,budget_rw,10.152,20.2836,0.18125,0.30964843750000004,0.08840981012658228,synthetic,1,160,790,2,8,6,5000
1,budget_rw,10.0126,20.006,0.175,0.3119921875,0.08947784810126583,synthetic,2,160,790,2,8,6,5000
1,budget_rw,10.0218,20.0148,0.175,0.31421875000000005,0.08954905063291141,synthetic,3,160,790,2,8,6,5000
1,budget_rw,10.0026,20.0294,0.1875,0.3116796875,0.08905063291139241,synthetic,4,160,790,2,8,6,5000
2,budget_rw,13.1512,26.25,0.225,0.37582031250000003,0.12337025316455694,synthetic,0,160,790,2,8,6,5000
2,budget_rw,12.965,25.9754,0.25625,0.37429687500000003,0.12309335443037975,synthetic,1,160,790,2,8,6,5000
2,budget_rw,13.331,26.7146,0.2125,0.37664062499999995,0.12363132911392402,synthetic,2,160,790,2,8,6,5000
2,budget_rw,13.0304,26.107,0.25625,0.3770703125,0.12360759493670885,synthetic,3,160,790,2,8,6,5000
2,budget_rw,13.1432,26.29,0.24375,0.37433593750000005,0.1236629746835443,synthetic,4,160,790,2,8,6,5000
3,budget_rw,16.0508,32.1342,0.29375,0.4149999999999999,0.15361550632911392,synthetic,0,160,790,2,8,6,5000
3,budget_rw,15.8616,31.5962,0.31875,0.41484375,0.15348892405063289,synthetic,1,160,790,2,8,6,5000
3,budget_rw,15.885,31.8344,0.325,0.4174609374999999,0.15443829113924049,synthetic,2,160,790,2,8,6,5000
3,budget_rw,16.111,32.2206,0.28125,0.4135546875,0.15315664556962022,synthetic,3,160,790,2,8,6,5000
3,budget_rw,15.9296,31.7442,0.31875,0.416875,0.15412183544303795,synthetic,4,160,790,2,8,6,5000
4,budget_rw,18.7726,37.5452,0.3875,0.44519531249999994,0.18110759493670886,synthetic,0,160,790,2,8,6,5000
4,budget_rw,18.597,36.9334,0.3625,0.4425,0.18159810126582282,synthetic,1,160,790,2,8,6,5000
4,budget_rw,18.6004,37.3212,0.34375,0.44261718750000006,0.17999208860759494,synthetic,2,160,790,2,8,6,5000
4,budget_rw,18.2968,36.7218,0.3625,0.44507812500000005,0.18299050632911393,synthetic,3,160,790,2,8,6,5000
4,budget_rw,18.7766,37.532,0.375,0.4464453125,0.18191455696202533,synthetic,4,160,790,2,8,6,5000
0,node2vec,6.2148,12.4284,0.08125,0.21328125,0.052112341772151904,synthetic,0,160,790,2,8,6,5000
0,node2vec,6.2444,12.5094,0.10625,0.21449218749999996,0.051368670886075954,synthetic,1,160,790,2,8,6,5000
0,node2vec,6.239,12.5072,0.09375,0.2138671875,0.051637658227848104,synthetic,2,160,790,2,8,6,5000
0,node2vec,6.2332,12.465,0.14375,0.21789062499999998,0.05189873417721519,synthetic,3,160,790,2,8,6,5000
0,node2vec,6.2474,12.4632,0.11875,0.21671875,0.05177215189873419,synthetic,4,160,790,2,8,6,5000
1,node2vec,9.9222,19.8304,0.175,0.326171875,0.09418512658227848,synthetic,0,160,790,2,8,6,5000
1,node2vec,9.8456,19.7364,0.2125,0.3265625,0.09384493670886077,synthetic,1,160,790,2,8,6,5000
1,node2vec,10.0406,20.0794,0.18125,0.32375,0.0939240506329114,synthetic,2,160,790,2,8,6,5000
1,node2vec,9.9484,19.7844,0.2,0.3262109375,0.09430379746835443,synthetic,3,160,790,2,8,6,5000
1,node2vec,9.8806,19.7904,0.15625,0.3262109375,0.09393987341772152,synthetic,4,160,790,2,8,6,5000
